BURADAKİ DOSYA KULLANILMIYOR SEED RATINGS.CSV asıl kullanılan cineselect manager repo sundaki dosya kullanılıyor
imdb_id,title,year,imdb_rating,rt
tt0052618,Ben-Hur,1959,8.1,89
tt0112573,Braveheart,1995,8.3,76
tt0110912,Pulp Fiction,1994,8.9,92
tt3581920,The Last of Us,2023,8.8,96
tt0482571,The Prestige,2006,8.5,77
tt0088247,The Terminator,1984,8.1,100
tt0103064,Terminator 2: Judgment Day,1991,8.6,91
tt0181852,Terminator 3: Rise of the Machines,2003,6.3,70
tt1979320,Rush,2013,8.1,89
tt0411008,Lost,2004,8.3,80

